COMPANYID,ERECTIONSEQUENCENO,CASENO,PROJECTNO,STARTERECTIONEVENTNO,ENDERECTIONEVENTNO,PITCH,MODULENO,CREATEDATE,CREATEUSER,UPDATEDATE,UPDATEUSER
D,39300479,2020-36-04,5466,104,M/E,2,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300480,2020-36-04,5466,62G/63G,50G,6,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300481,2020-36-04,5466,62H/63H,50H,7,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300482,2020-36-04,5466,50F,50G,5,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300483,2020-36-04,5466,50G,50H,4,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300484,2020-36-04,5466,20J,20K,0,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300485,2020-36-04,5466,20K,20L,1,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300486,2020-36-04,5466,20L,20M,0,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300487,2020-36-04,5466,20M,20N,1,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300488,2020-36-04,5466,62F/63F,62G/63G,5,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300489,2020-36-04,5466,62G/63G,62H/63H,3,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300490,2020-36-04,5466,50H,20J,18,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300491,2020-36-04,5466,206,207,3,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300492,2020-36-04,5466,207,727/737,11,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300493,2020-36-04,5466,727/737,62G/63G,5,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300494,2020-36-04,5466,208,20J,44,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300495,2020-36-04,5466,208,728/738,12,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300496,2020-36-04,5466,207,208,0,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300497,2020-36-04,5466,728/738,62H/63H,7,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300498,2020-36-04,5466,11A,104,2,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300499,2020-36-04,5466,11A,22A/23A,1,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300500,2020-36-04,5466,62D/63D,50D,13,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300501,2020-36-04,5466,50C,50D,10,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300502,2020-36-04,5466,203,204,0,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300503,2020-36-04,5466,204,724/734,4,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300504,2020-36-04,5466,724/734,62D/63D,1,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300505,2020-36-04,5466,622/632,50B,20,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300506,2020-36-04,5466,622/632,62A/63A,9,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300507,2020-36-04,5466,80A,80B,2,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300508,2020-36-04,5466,80B,80C,2,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300509,2020-36-04,5466,80C,80D,2,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300510,2020-36-04,5466,80D,L/C,25,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300511,2020-36-04,5466,91A,L/C,41,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300512,2020-36-04,5466,998,L/C,33,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300513,2020-36-04,5466,204,205,3,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300514,2020-36-04,5466,205,206,0,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300515,2020-36-04,5466,206,726/736,13,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300516,2020-36-04,5466,205,725/735,6,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300517,2020-36-04,5466,725/735,62E/63E,6,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300518,2020-36-04,5466,726/736,62F/63F,1,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300519,2020-36-04,5466,62E/63E,50E,6,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300520,2020-36-04,5466,62F/63F,50F,6,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300521,2020-36-04,5466,50D,50E,3,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300522,2020-36-04,5466,50E,50F,2,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300523,2020-36-04,5466,62D/63D,62E/63E,10,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300524,2020-36-04,5466,62E/63E,62F/63F,2,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300525,2020-36-04,5466,62C/63C,62D/63D,1,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300526,2020-36-04,5466,107,10F,1,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300527,2020-36-04,5466,F/S,998,1,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300528,2020-36-04,5466,M/E,12D/13D,16,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300529,2020-36-04,5466,105,12E/13E,2,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300530,2020-36-04,5466,10F,90A,4,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300531,2020-36-04,5466,12D/13D,105,2,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300532,2020-36-04,5466,62A/63A,12D/13D,1,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300533,2020-36-04,5466,62A/63A,50A,6,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300534,2020-36-04,5466,62C/63C,50C,4,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300535,2020-36-04,5466,62C/63C,622/632,3,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300536,2020-36-04,5466,20N,80A,0,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300537,2020-36-04,5466,22B/23B,622/632,9,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300538,2020-36-04,5466,203,723/733,2,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300539,2020-36-04,5466,723/733,62C/63C,2,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300540,2020-36-04,5466,50A,50B,6,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300541,2020-36-04,5466,50C,50B,19,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300542,2020-36-04,5466,12E/13E,50A,1,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300543,2020-36-04,5466,12E/13E,107,2,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300544,2020-36-04,5466,22A/23A,22B/23B,0,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300545,2020-36-04,5466,22A/23A,62A/63A,18,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300546,2020-36-04,5466,11H,107,0,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300547,2020-36-04,5466,11H,F/S,26,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300548,2020-36-04,5466,11H,91A,6,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300549,2020-36-04,5466,12E/13E,11H,2,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300550,2020-36-04,5466,22B/23B,203,2,5466,2020-04-20,1007589,2020-04-20,1007589
D,39300551,2020-36-04,5466,K/L,11A,4,5466,2020-04-20,1007589,2020-04-20,1007589
